m/z	z	Intensity	Peptide #	Ion Type	Index	Charge	Elem Comp	Error
180.0400	1	0						
180.0800	1	0						
180.1200	1	0						
180.1600	1	0						
180.2000	1	0						
180.2400	1	0						
180.2800	1	0						
180.3200	1	0						
180.3600	1	0						
180.4000	1	0						
180.4400	1	0						
180.4800	1	0						
180.5200	1	0						
180.5600	1	0						
180.6000	1	0						
180.6400	1	0						
180.6800	1	0						
180.7200	1	0						
180.7600	1	0						
180.8000	1	0						
180.8400	1	0						
180.8800	1	0						
180.9200	1	0						
180.9600	1	0						
181.0000	1	0						
181.0400	1	0						
181.0800	1	0						
181.1200	1	0						
181.1600	1	0						
181.2000	1	0						
181.2400	1	0						
181.2800	1	0						
181.3200	1	0						
181.3600	1	0						
181.4000	1	0						
181.4400	1	0						
181.4800	1	0						
181.5200	1	0						
181.5600	1	0						
181.6000	1	0						
181.6400	1	0						
181.6800	1	0						
181.7200	1	0						
181.7600	1	0						
181.8000	1	0						
181.8400	1	0						
181.8800	1	0						
181.9200	1	0						
181.9600	1	0						
182.0000	1	0						
182.0400	1	0						
182.0800	1	0						
182.1200	1	0						
182.1600	1	0						
182.2000	1	0						
182.2400	1	0						
182.2800	1	0						
182.3200	1	0						
182.3600	1	0						
182.4000	1	0						
182.4400	1	0						
182.4800	1	0						
182.5200	1	0						
182.5600	1	0						
182.6000	1	0						
182.6400	1	0						
182.6800	1	0						
182.7200	1	0						
182.7600	1	0						
182.8000	1	0						
182.8400	1	0						
182.8800	1	0						
182.9200	1	0						
182.9600	1	0						
183.0000	1	0						
183.0400	1	0	2	b-H2O	3	1	C8 H11 N2 O3	-199
183.0800	1	0	2	b-H2O	3	1	C8 H11 N2 O3	20
183.1200	1	0	2	b-H2O	3	1	C8 H11 N2 O3	238
183.1600	1	0						
183.2000	1	0						
183.2400	1	0						
183.2800	1	0						
183.3200	1	0						
183.3600	1	0						
183.4000	1	0						
183.4400	1	0						
183.4800	1	0						
183.5200	1	0						
183.5600	1	0						
183.6000	1	0						
183.6400	1	0						
183.6800	1	0						
183.7200	1	0						
183.7600	1	0						
183.8000	1	0						
183.8400	1	0						
183.8800	1	0						
183.9200	1	0						
183.9600	1	0						
184.0000	1	0						
184.0400	1	0						
184.0800	1	0						
184.1200	1	0						
184.1600	1	0						
